Serial No,Cement_kg_m3,Fly_Ash_kg_m3,GGBS_kg_m3,metakolin_kg_m3,TCM,Water_kg_m3,water/TCM,Sand_kg_m3,AGE,Compressive_Strength_MPa,Density,admixture,Coarse aggregate
44,343.54,0.0,448.31,197.96,989.82,149.42,0.151,1049.53,28,141.17,2218.55,29.79,0.0
45,196.37,81.82,49.09,0.0,327.28,138.68,0.424,769.19,3,15.141,2452.34,2.0,1215.2
46,221.04,94.08,96.37,11.73,423.21,155.79,0.368,712.54,7,43.087,2521.05,4.85,1224.65
47,254.08,85.17,135.33,44.63,519.22,169.81,0.327,728.42,14,65.018,2533.71,8.78,1107.49
48,303.44,30.98,253.88,123.84,712.13,124.42,0.175,897.3,28,111.3,2370.53,18.75,617.93
49,209.79,87.41,52.45,0.0,349.64,158.38,0.453,750.26,3,25.602,2468.91,2.93,1207.69
50,252.8,89.67,128.15,37.31,507.93,174.04,0.343,714.04,7,58.98,2503.82,5.87,1101.95
51,342.27,0.0,401.9,186.04,930.2,153.23,0.165,995.39,28,126.41,2472.36,27.59,365.95
52,344.34,0.0,442.72,196.76,983.82,145.02,0.147,1014.23,28,133.45,2172.73,29.67,0.0
53,203.94,84.97,50.98,0.0,339.89,162.3,0.478,729.44,3,20.935,2423.3,3.15,1188.51
54,220.89,92.74,99.48,14.04,427.16,168.96,0.396,735.68,7,46.333,2579.73,4.32,1243.62
55,249.17,80.74,154.53,53.83,538.27,162.43,0.302,756.9,14,73.095,2616.21,9.61,1149.01
56,318.5,26.37,276.31,135.52,756.7,125.31,0.166,874.08,28,113.03,2486.08,20.88,709.1
57,344.92,0.0,459.62,201.14,1005.68,152.1,0.151,1071.4,3,68.261,2263.47,34.29,0.0
58,233.18,91.63,116.59,24.96,466.36,171.9,0.369,715.79,7,46.125,2535.82,6.69,1175.08
59,300.64,38.11,240.32,117.01,696.08,136.77,0.196,829.58,28,109.05,2670.76,19.33,989.0
60,327.08,8.53,313.43,155.86,804.91,139.67,0.174,857.83,28,117.88,2334.83,21.63,510.78
61,193.12,80.47,48.28,0.0,321.87,148.2,0.46,759.08,3,12.355,2384.59,2.38,1153.05
62,216.66,96.21,71.97,0.0,384.84,154.65,0.402,712.71,7,37.401,2458.0,3.58,1202.22
63,238.98,90.69,119.49,28.79,477.95,175.03,0.366,685.97,14,55.123,2496.83,5.3,1152.58
64,253.41,84.44,168.94,56.35,563.14,164.26,0.292,778.09,28,80.03,2613.05,9.98,1097.59
65,195.74,81.56,48.94,0.0,326.24,152.55,0.468,727.08,3,12.804,2401.92,2.14,1193.9
66,218.27,93.85,63.29,0.0,375.42,151.64,0.404,783.6,7,33.719,2532.54,2.29,1219.6
67,333.33,0.0,428.57,190.48,952.38,141.12,0.148,987.54,14,118.702,2111.26,30.22,0.0
68,254.74,82.84,159.44,55.22,552.24,161.78,0.293,736.8,28,76.24,2606.55,10.26,1145.49
69,340.7,0.0,360.5,175.3,876.5,159.23,0.182,941.96,3,57.611,2102.66,25.88,99.09
70,202.59,84.41,50.65,0.0,337.64,143.66,0.425,711.61,7,23.956,2350.5,2.98,1154.6
71,224.56,97.13,94.0,9.05,424.75,156.35,0.368,727.42,14,44.21,2473.18,4.88,1159.78
72,318.19,18.43,288.7,142.51,767.83,137.95,0.18,843.39,28,115.2,2389.73,21.01,619.55
73,189.4,78.92,47.35,0.0,315.67,150.52,0.477,737.46,3,11.725,2418.64,2.4,1212.59
74,348.38,0.0,447.92,199.08,995.38,149.37,0.15,974.44,7,97.078,2157.57,38.39,0.0
75,248.64,80.68,135.94,47.52,512.77,143.01,0.279,729.29,14,67.555,2569.0,8.71,1175.22
76,254.28,84.29,136.68,46.04,521.28,165.72,0.318,722.91,28,66.104,2561.38,7.82,1143.65
77,298.55,43.41,230.92,112.94,685.82,144.57,0.211,840.54,28,107.34,2608.07,17.56,919.58
78,267.28,57.3,181.09,90.32,595.99,119.4,0.2,759.44,7,72.453,2455.58,12.45,968.3
79,280.66,56.35,195.48,97.08,629.57,122.77,0.195,752.33,14,87.721,2500.37,14.26,981.45
80,337.84,0.0,408.87,186.68,933.39,141.66,0.152,962.89,28,127.61,2416.78,27.86,350.99
81,297.83,35.26,241.55,117.38,692.01,131.69,0.19,767.74,28,109.81,2586.53,20.01,975.06
82,219.49,99.38,80.79,0.71,400.38,175.28,0.438,717.2,7,36.732,2524.56,4.06,1227.64
83,227.1,95.23,102.57,14.66,439.56,160.86,0.366,722.9,14,45.191,2554.12,5.72,1225.09
84,348.52,0.0,448.1,199.16,995.78,154.44,0.155,1025.79,28,136.0,2206.9,30.9,0.0
85,204.94,85.39,51.24,0.0,341.57,159.32,0.466,738.92,3,21.753,2393.26,2.36,1151.08
86,233.56,89.59,116.78,27.19,467.12,174.85,0.374,746.5,7,54.104,2590.89,4.88,1197.53
87,260.37,75.34,173.58,69.31,578.59,132.71,0.229,743.46,14,89.893,2501.0,13.37,1032.87
88,219.09,96.06,69.08,0.0,384.23,166.61,0.434,778.96,28,35.96,2492.39,3.46,1159.12
89,348.56,0.0,463.88,203.11,1015.56,149.47,0.147,1016.23,28,142.71,2212.39,31.13,0.0
90,328.67,0.0,411.26,184.98,924.91,149.65,0.162,914.3,7,94.882,2323.79,30.32,304.6
91,219.0,94.82,91.45,8.66,413.93,165.58,0.4,750.1,14,43.092,2490.24,3.36,1157.28
92,247.02,86.05,127.3,38.72,499.09,176.74,0.354,704.24,28,62.53,2566.39,7.38,1178.93
93,340.27,0.0,402.67,185.74,928.68,145.34,0.157,994.72,28,126.72,2492.35,29.21,394.4
94,333.18,1.41,330.92,165.32,830.82,157.97,0.19,877.71,28,119.66,2556.36,22.33,667.52
95,248.64,81.9,160.86,54.6,545.99,155.85,0.285,749.56,14,77.145,2513.2,10.66,1051.14
96,334.81,0.0,334.98,167.45,837.24,149.6,0.179,911.75,28,120.02,2179.45,21.18,259.68
97,354.22,0.0,455.43,202.41,1012.07,156.79,0.155,1006.23,28,138.74,2211.36,36.27,0.0
98,203.03,84.59,50.76,0.0,338.38,143.6,0.424,796.32,7,25.296,2432.62,3.11,1151.22
99,225.4,99.19,90.13,5.99,420.72,180.27,0.428,732.77,14,42.066,2586.13,3.08,1249.3
100,254.44,91.7,127.22,35.52,508.88,165.09,0.324,716.62,28,59.9,2578.56,6.5,1181.47
101,196.1,81.71,49.02,0.0,326.83,155.86,0.477,758.43,3,12.163,2483.56,2.32,1240.12
102,222.79,99.94,77.03,0.0,399.76,160.81,0.402,789.03,7,38.537,2548.01,2.85,1195.57
103,242.2,89.03,121.1,32.07,484.39,173.03,0.357,712.46,14,55.95,2543.06,5.52,1167.67
104,304.42,37.99,244.19,118.84,705.44,131.83,0.187,848.62,28,109.23,2673.34,17.64,969.82
105,199.8,83.25,49.95,0.0,333.01,152.93,0.459,768.47,3,16.944,2422.9,2.23,1166.26
106,221.93,98.68,74.1,0.0,394.72,175.86,0.446,772.57,7,31.596,2558.16,3.67,1211.34
107,326.29,19.69,294.78,145.42,786.2,138.94,0.177,804.52,28,114.99,2260.89,23.32,507.91
108,315.13,30.08,267.0,130.49,742.7,130.02,0.175,815.04,28,111.9,2387.57,21.58,678.24
109,349.03,0.0,489.49,209.63,1048.15,147.6,0.141,1075.75,28,146.8,2316.56,45.07,0.0
110,236.1,89.43,118.05,28.62,472.19,164.38,0.348,683.95,7,50.689,2519.45,5.7,1193.24
111,260.38,82.54,173.59,62.11,578.62,164.18,0.284,764.43,14,83.391,2596.77,12.63,1076.9
112,336.19,0.0,346.52,170.68,853.39,164.78,0.193,945.05,28,121.21,2040.8,25.92,51.66
113,191.13,79.64,47.78,0.0,318.55,160.02,0.502,767.17,3,12.894,2459.95,2.4,1211.81
114,217.13,94.42,66.14,0.0,377.69,157.84,0.418,752.03,7,32.291,2517.24,2.44,1227.23
115,253.18,83.22,162.94,55.48,554.82,161.57,0.291,753.66,14,76.134,2618.4,10.69,1137.67
116,335.75,0.0,484.65,205.1,1025.5,142.57,0.139,1063.27,28,149.04,2264.11,32.76,0.0
117,195.92,81.63,48.98,0.0,326.53,151.15,0.463,713.64,3,18.194,2345.43,2.66,1151.45
118,206.49,86.04,51.62,0.0,344.15,145.72,0.423,743.75,7,27.382,2476.86,2.83,1240.42
119,256.6,82.38,141.46,50.31,530.75,154.61,0.291,719.83,14,68.264,2563.82,8.86,1149.77
120,333.33,0.0,369.8,175.78,878.91,157.36,0.179,992.66,28,124.15,2255.48,29.7,196.85
121,345.72,0.0,444.49,197.55,987.76,143.39,0.145,1023.89,3,61.103,2189.21,34.17,0.0
122,280.65,50.12,204.13,100.72,635.62,125.93,0.198,757.59,7,72.768,2448.1,16.07,912.89
123,243.91,88.79,121.95,33.16,487.81,159.85,0.328,724.86,14,58.993,2536.87,5.25,1159.09
124,264.59,68.85,176.4,78.14,587.98,127.76,0.217,796.73,28,94.299,2494.1,14.4,967.23
125,197.96,82.48,49.49,0.0,329.94,141.3,0.428,727.86,3,19.385,2368.72,1.93,1167.7
126,219.49,99.58,79.24,0.0,398.31,161.09,0.404,720.63,7,37.817,2469.05,2.58,1186.43
127,249.36,78.97,145.5,52.65,526.49,152.79,0.29,767.96,14,70.372,2569.74,9.71,1112.79
128,255.46,88.99,131.65,40.05,516.14,159.86,0.31,703.05,28,62.53,2509.27,8.07,1122.15
129,192.03,80.01,48.01,0.0,320.06,155.87,0.487,720.93,3,13.346,2386.5,2.59,1187.05
130,211.61,89.88,58.04,0.0,359.54,152.53,0.424,746.25,7,29.286,2486.11,3.05,1224.75
131,340.77,0.0,381.01,180.45,902.23,137.34,0.152,989.52,14,108.991,2259.98,26.21,204.67
132,284.93,49.02,209.83,103.35,647.14,132.42,0.205,803.26,28,104.85,2521.92,14.86,924.25
133,336.92,0.0,477.82,203.68,1018.42,140.25,0.138,998.31,28,147.67,2192.85,35.87,0.0
134,217.31,97.78,81.52,1.83,398.45,160.74,0.403,769.05,7,40.472,2540.67,3.07,1209.36
135,251.08,87.78,128.97,38.9,506.73,175.95,0.347,704.35,14,61.274,2537.63,7.64,1142.97
136,296.24,38.85,235.0,114.54,684.62,129.85,0.19,762.76,28,108.65,2524.81,19.21,928.38
137,197.77,82.4,49.44,0.0,329.62,147.41,0.447,735.61,3,17.213,2463.88,2.6,1248.65
138,214.87,95.87,72.74,0.0,383.48,165.01,0.43,715.29,7,32.359,2441.04,2.66,1174.6
139,248.46,88.03,126.09,36.82,499.4,160.89,0.322,708.67,14,58.052,2546.48,5.77,1171.74
140,338.75,0.0,435.54,193.57,967.87,137.05,0.142,1097.36,28,134.27,2236.39,34.11,0.0
141,193.76,80.73,48.44,0.0,322.93,142.84,0.442,786.55,3,9.016,2486.18,2.15,1231.71
142,206.8,86.17,51.7,0.0,344.67,145.62,0.423,792.94,7,25.417,2491.15,2.24,1205.68
143,226.24,95.06,101.71,14.25,437.26,166.22,0.38,698.7,14,46.099,2488.89,4.33,1182.37
144,334.65,0.0,370.81,176.36,881.82,145.79,0.165,911.48,28,124.1,2210.35,27.01,244.25
145,336.62,0.0,491.41,207.01,1035.04,140.62,0.136,1022.17,28,149.91,2237.88,40.05,0.0
146,221.66,95.02,94.94,10.52,422.13,164.39,0.389,693.44,7,44.982,2439.77,3.47,1156.34
147,231.21,91.23,115.61,24.37,462.43,175.44,0.379,697.82,14,50.624,2525.14,5.37,1184.08
148,344.31,0.0,480.27,206.15,1030.73,153.4,0.149,1011.78,28,146.38,2234.92,39.02,0.0
149,207.05,86.27,51.76,0.0,345.08,148.44,0.43,796.5,3,24.344,2455.68,3.23,1162.43
150,335.15,0.0,348.66,170.95,854.76,157.08,0.184,906.65,28,121.58,2241.62,26.69,296.45
151,255.98,75.57,170.65,66.64,568.84,135.42,0.238,783.62,14,86.767,2521.41,13.37,1020.16
152,331.23,14.4,308.19,152.66,806.47,134.31,0.167,866.52,28,116.43,2485.05,20.82,656.92
153,194.0,80.83,48.5,0.0,323.33,146.24,0.452,781.66,3,13.69,2447.91,2.77,1193.91
154,220.21,96.82,88.26,6.0,411.3,163.12,0.397,754.76,7,41.092,2533.22,3.76,1200.27
155,220.89,97.23,88.25,5.82,412.19,160.63,0.39,734.36,14,42.822,2552.34,4.53,1240.65
156,218.58,94.37,64.53,0.0,377.48,162.77,0.431,762.77,28,34.191,2488.96,2.44,1183.49
157,195.62,81.51,48.9,0.0,326.03,142.16,0.436,753.35,3,14.171,2463.62,2.69,1239.39
158,332.11,0.0,407.56,184.92,924.58,150.11,0.162,924.85,28,128.16,2325.28,28.16,297.58
159,252.96,90.3,127.48,36.51,507.25,161.33,0.318,743.84,14,60.661,2546.47,6.69,1127.37
160,341.08,0.0,438.53,194.9,974.52,152.44,0.156,969.12,28,132.24,2126.4,30.31,0.0
161,196.69,81.95,49.17,0.0,327.82,145.67,0.444,722.93,3,17.314,2421.44,2.81,1222.23
162,225.48,94.98,100.76,13.76,434.99,169.62,0.39,734.27,7,46.328,2519.06,5.0,1175.18
163,257.79,82.66,155.5,55.11,551.05,154.7,0.281,755.0,14,74.065,2559.61,8.77,1090.09
164,316.24,19.93,284.35,140.18,760.7,135.77,0.178,858.62,28,114.76,2429.48,22.62,651.77
165,197.86,82.44,49.46,0.0,329.76,155.31,0.471,793.21,3,14.52,2486.63,1.83,1206.51
166,223.91,98.26,90.22,6.45,418.84,172.71,0.412,695.25,7,40.935,2499.13,4.69,1207.63
167,351.82,0.0,463.46,203.82,1019.1,153.09,0.15,1090.16,14,122.785,2297.65,35.31,0.0
168,264.56,61.31,176.37,85.66,587.9,144.79,0.246,818.94,28,98.57,2598.6,13.08,1033.89
169,341.96,0.0,394.13,184.02,920.12,140.07,0.152,951.88,28,125.67,2280.83,32.25,236.51
170,283.19,49.17,207.92,102.45,642.73,128.08,0.199,830.29,28,104.7,2516.11,14.54,900.46
171,215.99,93.94,65.83,0.0,375.76,156.57,0.417,791.99,14,34.52,2511.8,2.85,1184.63
172,223.5,93.6,101.26,14.66,433.02,158.28,0.366,702.46,28,46.77,2494.27,5.26,1195.24
173,200.72,83.63,50.18,0.0,334.54,142.06,0.425,741.89,3,20.09,2462.1,2.12,1241.48
174,287.45,49.06,212.24,104.49,653.24,128.29,0.196,751.31,7,78.485,2515.78,16.59,966.35
175,249.62,81.04,155.58,54.03,540.27,146.24,0.271,744.88,14,75.989,2500.62,10.7,1058.53
176,225.15,93.1,104.98,16.95,440.17,174.27,0.396,686.71,28,47.7,2531.2,5.05,1225.0
177,192.5,80.21,48.12,0.0,320.83,141.54,0.441,719.07,3,14.795,2337.86,2.77,1153.65
178,214.51,95.66,72.47,0.0,382.64,162.09,0.424,777.55,7,37.88,2520.76,3.16,1195.33
179,249.1,89.47,124.81,35.16,498.54,174.69,0.35,727.98,14,60.177,2519.76,6.13,1112.42
180,320.98,25.16,280.72,137.85,764.71,127.92,0.167,837.33,28,113.42,2333.59,22.41,581.22
181,192.17,80.07,48.04,0.0,320.28,150.81,0.471,715.62,3,15.889,2410.54,2.23,1221.6
182,213.95,93.63,66.94,0.0,374.52,162.15,0.433,723.11,7,34.338,2479.25,2.29,1217.19
183,257.45,80.46,144.86,53.64,536.41,140.1,0.261,730.71,14,69.563,2530.82,8.33,1115.27
184,250.67,81.83,136.4,47.2,516.09,150.38,0.291,736.11,28,67.15,2578.31,7.26,1168.46
185,194.79,81.16,48.7,0.0,324.65,159.69,0.492,720.5,3,13.397,2386.36,2.21,1179.31
186,332.86,0.0,363.95,174.2,871.02,158.8,0.182,920.79,28,123.57,1984.62,23.41,10.61
187,252.95,80.85,151.3,53.9,539.0,146.01,0.271,773.56,14,73.568,2599.97,9.66,1131.74
188,249.24,88.71,125.95,36.35,500.25,167.67,0.335,729.51,28,60.89,2524.75,5.87,1121.45
189,198.15,82.56,49.54,0.0,330.26,153.37,0.464,743.61,3,17.742,2409.01,2.33,1179.45
190,213.0,93.01,66.03,0.0,372.05,166.46,0.447,786.85,7,33.276,2527.47,3.37,1198.74
191,245.95,89.85,122.97,33.13,491.9,183.81,0.374,681.57,14,58.675,2527.6,6.89,1163.43
192,264.97,63.67,176.65,83.54,588.82,133.71,0.227,759.75,28,97.29,2529.42,13.64,1033.49
193,331.03,0.0,398.31,182.33,911.67,155.06,0.17,927.23,3,62.08,2031.64,30.32,7.36
194,225.69,90.29,112.8,22.53,451.31,169.22,0.375,707.41,7,49.986,2538.13,4.78,1205.42
195,338.07,0.0,488.7,206.69,1033.47,148.69,0.144,951.65,14,133.559,2177.32,43.5,0.0
196,258.03,81.2,144.41,52.95,536.59,145.34,0.271,729.87,28,69.56,2570.18,10.35,1148.04
197,208.37,86.82,52.09,0.0,347.28,155.31,0.447,741.88,3,24.968,2435.03,2.26,1188.31
198,225.13,88.91,112.56,23.66,450.26,158.1,0.351,731.66,7,51.27,2498.77,4.61,1154.14
199,258.93,75.97,172.62,67.88,575.41,136.29,0.237,743.1,14,85.379,2502.29,11.92,1035.57
200,339.76,1.4,337.52,168.62,847.29,159.94,0.189,847.61,28,119.67,2576.38,22.44,699.1
201,196.76,81.98,49.19,0.0,327.93,158.15,0.482,703.12,3,19.027,2368.14,2.72,1176.23
202,221.51,98.2,86.77,4.56,411.04,169.89,0.413,739.68,7,39.027,2506.95,2.92,1183.42
203,249.15,80.76,136.33,47.73,513.98,164.74,0.321,736.41,14,67.621,2562.14,7.37,1139.64
204,217.0,97.75,76.24,0.0,390.99,169.86,0.434,781.91,28,39.0,2575.73,3.03,1229.94
205,274.53,57.99,187.21,93.27,613.0,140.79,0.23,786.1,3,48.644,2462.47,13.43,909.16
206,213.18,88.82,53.29,0.0,355.29,159.09,0.448,744.6,7,29.089,2429.81,2.32,1168.51
207,246.65,91.01,123.32,32.31,493.3,173.89,0.353,736.46,14,57.51,2593.67,7.09,1182.94
208,260.61,70.94,173.74,73.84,579.14,135.87,0.235,784.26,28,92.5,2485.44,14.04,972.12
209,191.28,79.7,47.82,0.0,318.8,159.24,0.5,770.56,3,14.868,2493.93,2.8,1242.52
210,212.62,88.59,53.16,0.0,354.37,145.54,0.411,703.39,7,29.149,2425.97,2.92,1219.74
211,257.09,86.61,136.36,44.54,524.6,161.6,0.308,747.21,14,64.379,2580.32,8.97,1137.94
212,279.83,51.59,201.29,99.48,632.19,142.38,0.225,832.89,28,103.68,2527.64,16.48,903.7
213,272.04,55.15,188.73,93.78,609.7,134.77,0.221,757.7,28,101.91,2485.27,13.48,969.63
214,213.85,94.73,70.33,0.0,378.91,158.0,0.417,731.53,7,34.112,2475.76,3.37,1203.95
215,251.47,90.05,126.36,35.89,503.76,183.86,0.365,744.3,14,60.413,2587.13,5.94,1149.27
216,325.16,20.76,291.95,143.9,781.75,132.37,0.169,802.13,28,114.69,2498.3,19.64,762.41
217,205.19,85.5,51.3,0.0,341.98,152.14,0.445,799.79,3,20.069,2482.16,3.18,1185.07
218,271.72,58.76,183.41,91.53,605.41,142.6,0.236,812.75,28,100.59,2561.64,13.5,987.37
219,251.39,83.42,165.73,55.62,556.15,177.44,0.319,745.28,14,75.948,2613.11,10.48,1123.76
220,337.83,0.0,343.71,170.38,851.92,142.99,0.168,928.72,28,120.69,2064.25,22.09,118.52
221,190.91,79.54,47.73,0.0,318.18,141.02,0.443,798.77,3,14.66,2452.54,1.79,1192.78
222,331.09,0.0,425.69,189.19,945.97,139.71,0.148,1092.49,28,131.35,2212.98,34.81,0.0
223,279.49,52.87,199.18,98.58,630.12,141.09,0.224,837.91,28,103.22,2617.49,13.9,994.47
224,212.44,92.11,63.9,0.0,368.45,155.99,0.423,799.12,28,34.684,2499.83,3.11,1173.17
225,198.95,82.9,49.74,0.0,331.59,161.04,0.486,751.27,3,18.101,2419.6,2.63,1173.07
226,286.42,44.79,217.16,106.51,654.88,119.47,0.182,827.96,7,75.264,2553.21,15.89,935.01
227,301.4,39.76,238.77,116.4,696.33,117.04,0.168,842.78,14,97.557,2675.92,20.29,999.49
228,333.47,11.35,315.31,156.52,816.65,136.34,0.167,869.6,28,117.22,2390.8,22.03,546.17
229,189.43,78.93,47.36,0.0,315.72,156.8,0.497,753.7,3,11.546,2437.45,1.94,1209.29
230,211.94,88.31,52.98,0.0,353.23,152.67,0.432,726.56,7,28.784,2397.64,2.23,1162.95
231,224.94,99.38,88.95,5.25,418.52,178.54,0.427,760.95,14,42.509,2578.17,4.63,1215.52
232,253.07,80.38,140.64,50.86,524.95,157.11,0.299,718.63,28,68.96,2529.31,7.83,1120.78
233,196.8,82.0,49.2,0.0,328.0,152.34,0.464,722.02,3,19.682,2423.15,2.46,1218.33
234,223.44,94.85,98.04,12.31,428.64,153.58,0.358,728.06,7,40.086,2524.74,5.23,1209.24
235,255.63,81.54,152.06,54.36,543.58,168.23,0.309,753.94,14,73.247,2551.56,9.1,1076.7
236,318.12,24.25,279.32,137.24,758.93,148.1,0.195,885.06,28,113.61,2574.28,22.0,760.19
237,192.18,80.07,48.04,0.0,320.3,157.09,0.49,768.01,3,9.384,2459.88,2.62,1211.86
238,207.6,86.5,51.9,0.0,345.99,157.0,0.454,787.18,7,24.481,2445.32,2.22,1152.92
239,336.78,0.0,359.32,174.02,870.12,159.73,0.184,974.35,14,109.686,2092.1,23.59,64.3
240,349.26,0.0,455.38,201.16,1005.8,156.16,0.155,950.96,28,141.1,2151.92,39.0,0.0
241,200.72,83.63,50.18,0.0,334.54,147.99,0.442,763.18,3,16.932,2424.29,2.6,1175.98
242,222.71,100.86,81.91,0.68,406.17,174.34,0.429,690.7,7,40.335,2500.69,3.38,1226.1
243,332.66,0.0,406.79,184.86,924.32,145.05,0.157,963.26,14,112.644,2440.28,34.83,372.81
244,255.84,81.47,141.91,51.12,530.34,144.99,0.273,703.39,28,68.794,2512.91,10.12,1124.08
245,202.16,84.23,50.54,0.0,336.94,154.86,0.46,734.59,3,19.704,2440.49,2.01,1212.09
246,293.68,47.81,220.05,108.11,669.65,119.96,0.179,846.89,28,105.72,2629.69,18.23,974.97
247,248.41,81.3,165.6,56.7,552.01,143.24,0.259,721.77,14,81.356,2460.13,10.75,1032.36
248,216.81,93.95,65.04,0.0,375.8,159.5,0.424,744.59,28,34.613,2460.67,3.41,1177.36
249,337.56,0.0,372.9,177.61,888.07,163.39,0.184,916.36,28,123.98,2312.36,26.61,317.92
250,214.48,95.48,71.96,0.0,381.92,166.02,0.435,768.05,7,37.682,2534.07,2.63,1215.45
251,244.76,88.81,122.38,33.57,489.52,164.67,0.336,710.26,14,56.46,2568.85,7.22,1197.18
252,344.58,0.0,443.03,196.9,984.5,146.09,0.148,991.13,28,137.71,2157.55,35.82,0.0
253,197.03,82.1,49.26,0.0,328.39,164.91,0.502,723.0,3,13.639,2389.87,2.26,1171.31
254,210.93,89.15,56.52,0.0,356.6,143.2,0.402,786.44,7,31.697,2486.62,3.07,1197.32
255,237.42,91.56,118.71,27.15,474.85,179.54,0.378,734.36,14,52.757,2582.48,5.19,1188.55
256,257.75,80.25,171.83,62.95,572.78,158.55,0.277,730.5,28,84.95,2477.27,12.19,1003.25
