Serial No,Cement_kg_m3,Fly_Ash_kg_m3,GGBS_kg_m3,metakolin_kg_m3,TCM,Water_kg_m3,water/TCM,Sand_kg_m3,AGE,Compressive_Strength_MPa,admixture,Coarse aggregate,SCMContent,Binder,WBRatio,AggregateToBinder,AdmixtureToBinder
31,251.06,81.71,157.49,54.47,544.74,149.86,0.275,737.09,14,76.37,9.53,1053.69,293.66999999999996,544.73,0.27510876948212876,3.287463514034476,0.017494905733115487
32,342.57,0.0,449.09,197.91,989.57,149.09,0.151,991.8,28,141.53,35.04,0.0,647.0,989.5699999999999,0.1506613983851572,1.0022535040472125,0.03540931919924816
33,192.38,80.16,48.09,0.0,320.63,157.96,0.493,748.95,3,15.149,2.03,1248.57,128.25,320.63,0.49265508530081403,6.22998471758725,0.006331285282100863
34,323.29,21.08,289.55,142.67,776.59,131.77,0.17,823.76,28,114.57,22.02,718.46,453.29999999999995,776.5899999999999,0.16967769350622597,1.9858870188902769,0.0283547302952652
35,331.45,11.68,312.76,155.21,811.11,141.71,0.175,853.58,14,99.892,22.84,527.09,479.65,811.0999999999999,0.1747133522377019,1.7022192084823082,0.028159289853285665
36,249.33,82.24,161.89,54.83,548.3,170.04,0.31,722.45,28,78.42,9.1,1109.09,298.96,548.29,0.3101278520490981,3.340458516478506,0.016597056302321764
37,342.81,0.0,491.91,208.68,1043.4,151.26,0.145,983.97,28,148.58,31.55,0.0,700.59,1043.4,0.14496837262794707,0.9430419781483611,0.03023768449300364
38,287.78,49.45,212.01,104.41,653.65,137.03,0.21,788.67,28,104.87,15.23,993.67,365.87,653.65,0.20963818557331906,2.726749789642775,0.023299931155817334
39,234.56,88.85,117.28,28.43,469.12,153.99,0.328,744.73,14,55.297,5.49,1193.87,234.56,469.12,0.3282528990450205,4.1324181446111865,0.011702762619372442
40,298.17,41.97,232.55,113.61,686.3,123.41,0.18,805.52,28,107.77,18.66,952.97,388.13,686.3,0.1798193209966487,2.562275972606732,0.02718927582689786
41,215.41,91.03,57.69,0.0,364.14,150.06,0.412,790.04,3,31.688,2.32,1213.31,148.72,364.13,0.41210556669321396,5.501743882679262,0.006371350891165243
42,256.48,80.85,143.35,52.42,533.11,151.23,0.284,744.86,7,67.22,8.78,1170.97,276.62,533.1,0.2836803601575689,3.593753517163759,0.016469705496154566
43,279.76,49.12,204.65,100.89,634.42,137.93,0.217,766.16,14,104.515,16.16,989.86,354.66,634.4200000000001,0.21741117871441631,2.767914000189149,0.025472084738816556
44,343.54,0.0,448.31,197.96,989.82,149.42,0.151,1049.53,28,141.17,29.79,0.0,646.27,989.81,0.15095826471747104,1.0603348117315445,0.030096685222416424
45,196.37,81.82,49.09,0.0,327.28,138.68,0.424,769.19,3,15.141,2.0,1215.2,130.91,327.28,0.42373502811048647,6.063279149352238,0.006110975311659742
46,221.04,94.08,96.37,11.73,423.21,155.79,0.368,712.54,7,43.087,4.85,1224.65,202.17999999999998,423.21999999999997,0.36810642219176787,4.5772647795472805,0.011459760880865744
47,254.08,85.17,135.33,44.63,519.22,169.81,0.327,728.42,14,65.018,8.78,1107.49,265.13,519.21,0.327054563664028,3.535968105390882,0.0169103060418713
48,303.44,30.98,253.88,123.84,712.13,124.42,0.175,897.3,28,111.3,18.75,617.93,408.70000000000005,712.1400000000001,0.17471283736343976,2.127713651810037,0.026329092594152833
49,209.79,87.41,52.45,0.0,349.64,158.38,0.453,750.26,3,25.602,2.93,1207.69,139.86,349.65,0.452967252967253,5.5997425997426005,0.008379808379808382
50,252.8,89.67,128.15,37.31,507.93,174.04,0.343,714.04,7,58.98,5.87,1101.95,255.13,507.93,0.34264564014726434,3.5752761207252965,0.011556710570354184
51,342.27,0.0,401.9,186.04,930.2,153.23,0.165,995.39,28,126.41,27.59,365.95,587.9399999999999,930.2099999999999,0.16472624461143184,1.4634759892927405,0.029659969254254417
52,344.34,0.0,442.72,196.76,983.82,145.02,0.147,1014.23,28,133.45,29.67,0.0,639.48,983.8199999999999,0.14740501311215468,1.030910125836027,0.03015795572360798
53,203.94,84.97,50.98,0.0,339.89,162.3,0.478,729.44,3,20.935,3.15,1188.51,135.95,339.89,0.4775074288740475,5.642855041336904,0.009267704257259701
54,220.89,92.74,99.48,14.04,427.16,168.96,0.396,735.68,7,46.333,4.32,1243.62,206.26,427.15,0.3955519138475946,4.633735221819033,0.010113543251785088
55,249.17,80.74,154.53,53.83,538.27,162.43,0.302,756.9,14,73.095,9.61,1149.01,289.09999999999997,538.27,0.30176305571553314,3.5408066583684765,0.017853493599866238
56,318.5,26.37,276.31,135.52,756.7,125.31,0.166,874.08,28,113.03,20.88,709.1,438.20000000000005,756.7,0.16560063433328928,2.0922162019294306,0.02759349808378485
57,344.92,0.0,459.62,201.14,1005.68,152.1,0.151,1071.4,3,68.261,34.29,0.0,660.76,1005.6800000000001,0.1512409513960703,1.0653488187097289,0.03409633282952828
58,233.18,91.63,116.59,24.96,466.36,171.9,0.369,715.79,7,46.125,6.69,1175.08,233.18,466.36,0.3685993652971953,4.054528690282185,0.014345141092718072
59,300.64,38.11,240.32,117.01,696.08,136.77,0.196,829.58,28,109.05,19.33,989.0,395.44,696.0799999999999,0.19648603608780604,2.6126019997701415,0.02776979657510631
60,327.08,8.53,313.43,155.86,804.91,139.67,0.174,857.83,28,117.88,21.63,510.78,477.82,804.9,0.17352466144862716,1.7003478693005345,0.0268729034662691
61,193.12,80.47,48.28,0.0,321.87,148.2,0.46,759.08,3,12.355,2.38,1153.05,128.75,321.87,0.4604343368440674,5.9406903408208285,0.007394289620032932
62,216.66,96.21,71.97,0.0,384.84,154.65,0.402,712.71,7,37.401,3.58,1202.22,168.18,384.84000000000003,0.4018553164951668,4.975912067352666,0.009302567300696393
63,238.98,90.69,119.49,28.79,477.95,175.03,0.366,685.97,14,55.123,5.3,1152.58,238.97,477.95,0.36620985458729993,3.8467412909300136,0.011089026048749869
64,253.41,84.44,168.94,56.35,563.14,164.26,0.292,778.09,28,80.03,9.98,1097.59,309.73,563.14,0.2916859040380722,3.3307525659693855,0.01772205845793231
65,195.74,81.56,48.94,0.0,326.24,152.55,0.468,727.08,3,12.804,2.14,1193.9,130.5,326.24,0.46760053948013736,5.888241785188818,0.006559588033349681
66,218.27,93.85,63.29,0.0,375.42,151.64,0.404,783.6,7,33.719,2.29,1219.6,157.14,375.40999999999997,0.4039317013398684,5.3360326043525745,0.006099997336245705
67,333.33,0.0,428.57,190.48,952.38,141.12,0.148,987.54,14,118.702,30.22,0.0,619.05,952.3799999999999,0.1481761481761482,1.036918036918037,0.031731031731031735
68,254.74,82.84,159.44,55.22,552.24,161.78,0.293,736.8,28,76.24,10.26,1145.49,297.5,552.24,0.29295233956250905,3.408463711429813,0.018578878748370272
69,340.7,0.0,360.5,175.3,876.5,159.23,0.182,941.96,3,57.611,25.88,99.09,535.8,876.5,0.1816657159155733,1.1877353108956075,0.029526525955504847
70,202.59,84.41,50.65,0.0,337.64,143.66,0.425,711.61,7,23.956,2.98,1154.6,135.06,337.65,0.42547016140974386,5.527054642381165,0.008825707093143788
71,224.56,97.13,94.0,9.05,424.75,156.35,0.368,727.42,14,44.21,4.88,1159.78,200.18,424.74,0.3681075481471017,4.443188774308989,0.011489381739417055
72,318.19,18.43,288.7,142.51,767.83,137.95,0.18,843.39,28,115.2,21.01,619.55,449.64,767.8299999999999,0.17966216480210465,1.9052915358868503,0.027362827709258564
73,189.4,78.92,47.35,0.0,315.67,150.52,0.477,737.46,3,11.725,2.4,1212.59,126.27000000000001,315.67,0.4768270662400608,6.177495485792124,0.007602876421579497
74,348.38,0.0,447.92,199.08,995.38,149.37,0.15,974.44,7,97.078,38.39,0.0,647.0,995.38,0.15006329241093855,0.9789628081737628,0.03856818501476823
75,248.64,80.68,135.94,47.52,512.77,143.01,0.279,729.29,14,67.555,8.71,1175.22,264.14,512.78,0.2788915324310621,3.7140879129451227,0.016985841881508642
76,254.28,84.29,136.68,46.04,521.28,165.72,0.318,722.91,28,66.104,7.82,1143.65,267.01000000000005,521.2900000000001,0.31790366206909776,3.5806556810988117,0.015001246906712193
77,298.55,43.41,230.92,112.94,685.82,144.57,0.211,840.54,28,107.34,17.56,919.58,387.27,685.8199999999999,0.2107987518590884,2.566446006240705,0.025604385990493132
78,267.28,57.3,181.09,90.32,595.99,119.4,0.2,759.44,7,72.453,12.45,968.3,328.71,595.99,0.20033893186127286,2.8989412574036475,0.020889612241816135
79,280.66,56.35,195.48,97.08,629.57,122.77,0.195,752.33,14,87.721,14.26,981.45,348.90999999999997,629.5699999999999,0.19500611528503584,2.753911399844339,0.0226503804183808
80,337.84,0.0,408.87,186.68,933.39,141.66,0.152,962.89,28,127.61,27.86,350.99,595.55,933.3899999999999,0.15176935686047635,1.4076431073827664,0.029848187788598553
81,297.83,35.26,241.55,117.38,692.01,131.69,0.19,767.74,28,109.81,20.01,975.06,394.19,692.02,0.1902979682668131,2.518424322996445,0.02891534926736222
82,219.49,99.38,80.79,0.71,400.38,175.28,0.438,717.2,7,36.732,4.06,1227.64,180.88000000000002,400.37,0.43779503958838073,4.857606713789745,0.010140619926567923
83,227.1,95.23,102.57,14.66,439.56,160.86,0.366,722.9,14,45.191,5.72,1225.09,212.46,439.56,0.365956865956866,4.431681681681681,0.013013013013013013
84,348.52,0.0,448.1,199.16,995.78,154.44,0.155,1025.79,28,136.0,30.9,0.0,647.26,995.78,0.15509449878487216,1.0301371788949367,0.03103095061158087
85,204.94,85.39,51.24,0.0,341.57,159.32,0.466,738.92,3,21.753,2.36,1151.08,136.63,341.57,0.4664344058318939,5.53327282840999,0.006909271891559563
86,233.56,89.59,116.78,27.19,467.12,174.85,0.374,746.5,7,54.104,4.88,1197.53,233.56,467.12,0.3743149511902723,4.161735742421647,0.010446994348347319
87,260.37,75.34,173.58,69.31,578.59,132.71,0.229,743.46,14,89.893,13.37,1032.87,318.23,578.6,0.22936398202557898,3.0700483926719664,0.023107500864154855
88,219.09,96.06,69.08,0.0,384.23,166.61,0.434,778.96,28,35.96,3.46,1159.12,165.14,384.23,0.43362048772870415,5.044062150274574,0.009005023033079144
89,348.56,0.0,463.88,203.11,1015.56,149.47,0.147,1016.23,28,142.71,31.13,0.0,666.99,1015.55,0.14718133031362315,1.0006695879080303,0.0306533405543794
90,328.67,0.0,411.26,184.98,924.91,149.65,0.162,914.3,7,94.882,30.32,304.6,596.24,924.9100000000001,0.1617995264404104,1.317857953746851,0.032781567936339746
91,219.0,94.82,91.45,8.66,413.93,165.58,0.4,750.1,14,43.092,3.36,1157.28,194.92999999999998,413.92999999999995,0.40001932693933767,4.607977194211583,0.008117314521779046
92,247.02,86.05,127.3,38.72,499.09,176.74,0.354,704.24,28,62.53,7.38,1178.93,252.07,499.09000000000003,0.35412450660201567,3.7732072371716523,0.014786912180167904
93,340.27,0.0,402.67,185.74,928.68,145.34,0.157,994.72,28,126.72,29.21,394.4,588.4100000000001,928.6800000000001,0.15650170133953567,1.4958004910195113,0.0314532454666839
94,333.18,1.41,330.92,165.32,830.82,157.97,0.19,877.71,28,119.66,22.33,667.52,497.65000000000003,830.83,0.19013516603878047,1.8598630285377273,0.02687673772011121
95,248.64,81.9,160.86,54.6,545.99,155.85,0.285,749.56,14,77.145,10.66,1051.14,297.36,546.0,0.2854395604395604,3.2979853479853483,0.019523809523809523
96,334.81,0.0,334.98,167.45,837.24,149.6,0.179,911.75,28,120.02,21.18,259.68,502.43,837.24,0.17868233720319143,1.3991567531412739,0.025297405761788735
97,354.22,0.0,455.43,202.41,1012.07,156.79,0.155,1006.23,28,138.74,36.27,0.0,657.84,1012.0600000000001,0.15492164496176114,0.9942394719680651,0.035837796178092206
98,203.03,84.59,50.76,0.0,338.38,143.6,0.424,796.32,7,25.296,3.11,1151.22,135.35,338.38,0.42437496305928246,5.755482002482416,0.00919085052308056
99,225.4,99.19,90.13,5.99,420.72,180.27,0.428,732.77,14,42.066,3.08,1249.3,195.31,420.71000000000004,0.42848993368353494,4.711250029711677,0.007320957429107936
100,254.44,91.7,127.22,35.52,508.88,165.09,0.324,716.62,28,59.9,6.5,1181.47,254.44000000000003,508.88,0.32441833045118695,3.7299363307656033,0.0127731488759629
101,196.1,81.71,49.02,0.0,326.83,155.86,0.477,758.43,3,12.163,2.32,1240.12,130.73,326.83,0.47688400697610384,6.114952727717773,0.00709849157054126
102,222.79,99.94,77.03,0.0,399.76,160.81,0.402,789.03,7,38.537,2.85,1195.57,176.97,399.76,0.40226635981588954,4.964478687212328,0.007129277566539924
103,242.2,89.03,121.1,32.07,484.39,173.03,0.357,712.46,14,55.95,5.52,1167.67,242.2,484.4,0.357204789430223,3.8813583815028907,0.01139554087530966
104,304.42,37.99,244.19,118.84,705.44,131.83,0.187,848.62,28,109.23,17.64,969.82,401.02,705.44,0.18687627579950103,2.577738716262191,0.025005670220004536
105,199.8,83.25,49.95,0.0,333.01,152.93,0.459,768.47,3,16.944,2.23,1166.26,133.2,333.0,0.45924924924924926,5.8100000000000005,0.006696696696696696
106,221.93,98.68,74.1,0.0,394.72,175.86,0.446,772.57,7,31.596,3.67,1211.34,172.78,394.71000000000004,0.44554229687618757,5.026247118137366,0.009297965594993792
107,326.29,19.69,294.78,145.42,786.2,138.94,0.177,804.52,28,114.99,23.32,507.91,459.89,786.1800000000001,0.1767279757816276,1.6693759698796713,0.029662418275712938
108,315.13,30.08,267.0,130.49,742.7,130.02,0.175,815.04,28,111.9,21.58,678.24,427.57,742.7,0.17506395583681164,2.0106099367173824,0.02905614649252726
109,349.03,0.0,489.49,209.63,1048.15,147.6,0.141,1075.75,28,146.8,45.07,0.0,699.12,1048.15,0.14081953918809328,1.026332108953871,0.04299957067213662
110,236.1,89.43,118.05,28.62,472.19,164.38,0.348,683.95,7,50.689,5.7,1193.24,236.10000000000002,472.20000000000005,0.34811520542143154,3.9754129606099107,0.01207115628970775
111,260.38,82.54,173.59,62.11,578.62,164.18,0.284,764.43,14,83.391,12.63,1076.9,318.24,578.62,0.2837440807438388,3.182278524765822,0.021827797172583045
112,336.19,0.0,346.52,170.68,853.39,164.78,0.193,945.05,28,121.21,25.92,51.66,517.2,853.3900000000001,0.19308874020084602,1.1679419726033815,0.030372983044094727
113,191.13,79.64,47.78,0.0,318.55,160.02,0.502,767.17,3,12.894,2.4,1211.81,127.42,318.55,0.5023387223355831,6.212462721707738,0.0075341390676502895
114,217.13,94.42,66.14,0.0,377.69,157.84,0.418,752.03,7,32.291,2.44,1227.23,160.56,377.69,0.41790886706028757,5.240435277608621,0.006460324604834653
115,253.18,83.22,162.94,55.48,554.82,161.57,0.291,753.66,14,76.134,10.69,1137.67,301.64,554.8199999999999,0.29121156411088284,3.408907393388847,0.019267510183482932
116,335.75,0.0,484.65,205.1,1025.5,142.57,0.139,1063.27,28,149.04,32.76,0.0,689.75,1025.5,0.13902486591906388,1.0368308142369576,0.03194539249146758
117,195.92,81.63,48.98,0.0,326.53,151.15,0.463,713.64,3,18.194,2.66,1151.45,130.60999999999999,326.53,0.4628977429332681,5.711848834716566,0.00814626527424739
118,206.49,86.04,51.62,0.0,344.15,145.72,0.423,743.75,7,27.382,2.83,1240.42,137.66,344.15,0.42342002033996806,5.7654220543367725,0.008223158506465204
119,256.6,82.38,141.46,50.31,530.75,154.61,0.291,719.83,14,68.264,8.86,1149.77,274.15,530.75,0.29130475741874706,3.5225624116815824,0.016693358455016485
120,333.33,0.0,369.8,175.78,878.91,157.36,0.179,992.66,28,124.15,29.7,196.85,545.58,878.9100000000001,0.17903994720733635,1.353392269970759,0.03379185582141516
121,345.72,0.0,444.49,197.55,987.76,143.39,0.145,1023.89,3,61.103,34.17,0.0,642.04,987.76,0.14516684214789016,1.0365777111849033,0.034593423503685106
122,280.65,50.12,204.13,100.72,635.62,125.93,0.198,757.59,7,72.768,16.07,912.89,354.97,635.62,0.19812151914665996,2.628111135584154,0.025282401434819548
123,243.91,88.79,121.95,33.16,487.81,159.85,0.328,724.86,14,58.993,5.25,1159.09,243.9,487.81,0.3276890592648777,3.8620569484020413,0.010762386994936554
124,264.59,68.85,176.4,78.14,587.98,127.76,0.217,796.73,28,94.299,14.4,967.23,323.39,587.98,0.21728630225517875,3.0000340147624067,0.024490628932956903
125,197.96,82.48,49.49,0.0,329.94,141.3,0.428,727.86,3,19.385,1.93,1167.7,131.97,329.93,0.42827266389840274,5.745339920589216,0.00584972569939078
126,219.49,99.58,79.24,0.0,398.31,161.09,0.404,720.63,7,37.817,2.58,1186.43,178.82,398.31,0.40443373251989656,4.787878787878788,0.006477366875047074
127,249.36,78.97,145.5,52.65,526.49,152.79,0.29,767.96,14,70.372,9.71,1112.79,277.12,526.48,0.29021045433824644,3.572310439142987,0.018443245707339313
128,255.46,88.99,131.65,40.05,516.14,159.86,0.31,703.05,28,62.53,8.07,1122.15,260.69,516.15,0.30971616778068395,3.536181342632956,0.015634989828538216
129,192.03,80.01,48.01,0.0,320.06,155.87,0.487,720.93,3,13.346,2.59,1187.05,128.02,320.05,0.48701765349164194,5.961506014685205,0.008092485549132947
130,211.61,89.88,58.04,0.0,359.54,152.53,0.424,746.25,7,29.286,3.05,1224.75,147.92,359.53,0.4242483242010403,5.482157260868356,0.008483297638583708
131,340.77,0.0,381.01,180.45,902.23,137.34,0.152,989.52,14,108.991,26.21,204.67,561.46,902.23,0.152222825665296,1.323598195582058,0.029050242177715218
132,284.93,49.02,209.83,103.35,647.14,132.42,0.205,803.26,28,104.85,14.86,924.25,362.20000000000005,647.1300000000001,0.2046265819850725,2.669494537419065,0.022962928623305977
133,336.92,0.0,477.82,203.68,1018.42,140.25,0.138,998.31,28,147.67,35.87,0.0,681.5,1018.4200000000001,0.13771332063392314,0.9802537263604406,0.03522122503485791
134,217.31,97.78,81.52,1.83,398.45,160.74,0.403,769.05,7,40.472,3.07,1209.36,181.13000000000002,398.44000000000005,0.4034233510691697,4.96539002108222,0.007705049693805841
135,251.08,87.78,128.97,38.9,506.73,175.95,0.347,704.35,14,61.274,7.64,1142.97,255.65,506.73,0.34722633355041144,3.645570619462041,0.015077062735579103
136,296.24,38.85,235.0,114.54,684.62,129.85,0.19,762.76,28,108.65,19.21,928.38,388.39000000000004,684.6300000000001,0.18966449030863383,2.470151760805106,0.028058951550472513
137,197.77,82.4,49.44,0.0,329.62,147.41,0.447,735.61,3,17.213,2.6,1248.65,131.84,329.61,0.44722550893480173,6.020023664330573,0.007888110190831589
138,214.87,95.87,72.74,0.0,383.48,165.01,0.43,715.29,7,32.359,2.66,1174.6,168.61,383.48,0.4302962344841973,4.928262230103265,0.006936476478564723
139,248.46,88.03,126.09,36.82,499.4,160.89,0.322,708.67,14,58.052,5.77,1171.74,250.94,499.4,0.3221665999199039,3.7653384060873045,0.011553864637565078
140,338.75,0.0,435.54,193.57,967.87,137.05,0.142,1097.36,28,134.27,34.11,0.0,629.11,967.86,0.14160105800425682,1.1338003430248176,0.03524270039055235
141,193.76,80.73,48.44,0.0,322.93,142.84,0.442,786.55,3,9.016,2.15,1231.71,129.17000000000002,322.93,0.44232496206608246,6.249837426067569,0.006657789613848202
142,206.8,86.17,51.7,0.0,344.67,145.62,0.423,792.94,7,25.417,2.24,1205.68,137.87,344.67,0.42249107842283923,5.798647982127832,0.006498970029303392
143,226.24,95.06,101.71,14.25,437.26,166.22,0.38,698.7,14,46.099,4.33,1182.37,211.01999999999998,437.26,0.38013996249371085,4.301948497461464,0.009902575126926771
144,334.65,0.0,370.81,176.36,881.82,145.79,0.165,911.48,28,124.1,27.01,244.25,547.1700000000001,881.82,0.16532852509582452,1.3106189471774286,0.030629833752920096
145,336.62,0.0,491.41,207.01,1035.04,140.62,0.136,1022.17,28,149.91,40.05,0.0,698.4200000000001,1035.04,0.13585948369145154,0.9875656979440408,0.03869415674756531
146,221.66,95.02,94.94,10.52,422.13,164.39,0.389,693.44,7,44.982,3.47,1156.34,200.48,422.14,0.38942057137442554,4.381911214289098,0.008220021793717724
147,231.21,91.23,115.61,24.37,462.43,175.44,0.379,697.82,14,50.624,5.37,1184.08,231.21,462.42,0.3793953548721941,4.069676917088361,0.011612819514726872
148,344.31,0.0,480.27,206.15,1030.73,153.4,0.149,1011.78,28,146.38,39.02,0.0,686.42,1030.73,0.14882655981682885,0.9816149719131101,0.037856664693954774
149,207.05,86.27,51.76,0.0,345.08,148.44,0.43,796.5,3,24.344,3.23,1162.43,138.03,345.08000000000004,0.43016112205865303,5.676741625130404,0.00936014837139214
150,335.15,0.0,348.66,170.95,854.76,157.08,0.184,906.65,28,121.58,26.69,296.45,519.61,854.76,0.18377088305489261,1.4075295989517524,0.031225139220365954
151,255.98,75.57,170.65,66.64,568.84,135.42,0.238,783.62,14,86.767,13.37,1020.16,312.86,568.84,0.23806342732578578,3.1709795373039866,0.023503972997679486
152,331.23,14.4,308.19,152.66,806.47,134.31,0.167,866.52,28,116.43,20.82,656.92,475.25,806.48,0.16653853784346792,1.8889991072314254,0.02581589128062692
153,194.0,80.83,48.5,0.0,323.33,146.24,0.452,781.66,3,13.69,2.77,1193.91,129.32999999999998,323.33,0.45229332261157335,6.11007329972474,0.008567098629882784
154,220.21,96.82,88.26,6.0,411.3,163.12,0.397,754.76,7,41.092,3.76,1200.27,191.07999999999998,411.28999999999996,0.396605801259452,4.753410002674512,0.009141967954484671
155,220.89,97.23,88.25,5.82,412.19,160.63,0.39,734.36,14,42.822,4.53,1240.65,191.3,412.19,0.3896989252529173,4.791503918096025,0.010990077391494215
156,218.58,94.37,64.53,0.0,377.48,162.77,0.431,762.77,28,34.191,2.44,1183.49,158.9,377.48,0.4312016530677122,5.1559287909293205,0.006463918618204938
157,195.62,81.51,48.9,0.0,326.03,142.16,0.436,753.35,3,14.171,2.69,1239.39,130.41,326.03,0.4360334938502592,6.112136919915346,0.008250774468607183
158,332.11,0.0,407.56,184.92,924.58,150.11,0.162,924.85,28,128.16,28.16,297.58,592.48,924.59,0.1623530429703977,1.3221319720092148,0.030456742988784216
159,252.96,90.3,127.48,36.51,507.25,161.33,0.318,743.84,14,60.661,6.69,1127.37,254.29,507.25,0.3180482996550025,3.688930507639231,0.01318876293740759
160,341.08,0.0,438.53,194.9,974.52,152.44,0.156,969.12,28,132.24,30.31,0.0,633.43,974.51,0.15642733271079826,0.9944690151973813,0.031102810643297656
161,196.69,81.95,49.17,0.0,327.82,145.67,0.444,722.93,3,17.314,2.81,1222.23,131.12,327.81,0.44437326500106766,5.933803117659619,0.00857203868094323
